# meta={"format": "probe_hits_cells", "version": "1.0", "exported_at": "2025-09-19T16:22:09", "units": {"length": "m", "pressure": "kPa", "time": "ms", "impulse": "kPa·ms"}, "grid": {"origin": [30.0, 0.0, -24.0], "u_vec": [0.0, 0.0, 1.0], "v_vec": [0.0, 1.0, 0.0], "du": 6.0, "dv": 5.0, "nu": 9, "nv": 9}, "summary": {"unique_hit_cells": 81, "total_hits": 62049}, "context": {"charge_kg_tnt": 500, "n_rays_vertical": 100000, "n_rays_horizontal": 1000, "min_cos_to_normal": 0.08, "hemispheres": ["+X (vertical plane focus)", "+Y (horizontal plane focus)"], "note": "rays filtered to remove near-grazing hits; directions generated by uniform_hemisphere"}, "aggregation": {"Pmax_inc_kPa": "max over incident_peak_pressure_kpa within cell", "t_first_ms": "min over arrive_time_ms within cell", "hits": "count of hits within cell"}}
# columns=i,j,hits,Pmax_inc_kPa,t_first_ms
i,j,hits,Pmax_inc_kPa,t_first_ms
2,1,3634,574.3144878926437,7.590628886920439
3,2,4344,824.5438496412187,5.634376618684882
6,3,320,89.78502994118966,59.61478394475667
1,2,1108,290.90678778918414,13.168330772313066
4,2,4406,823.8547612999664,5.638289807009834
1,1,1598,293.31906617529546,13.080506455111053
4,0,1584,680.7402579754427,41.70033385387533
6,0,870,607.1766765361343,47.18164155007654
3,1,6111,828.2645473712751,5.613347787479248
5,1,3811,579.5888201285766,7.53402257413406
6,4,271,97.3779437237956,69.03736517935637
2,2,2728,577.8531021051637,7.552548988597778
5,2,2848,579.5767604963404,7.534150951835208
3,6,248,111.58837911466368,85.98882526032972
3,3,549,99.3703704148122,54.756046115686715
1,8,147,100.88180329940634,111.8848290249835
4,1,6278,830.1278440289235,5.602879825538111
8,8,91,84.94715857007996,121.34573530074746
4,8,163,107.99551916180793,108.06929845558189
5,5,337,108.50958638606613,76.47675980064804
0,1,917,173.77769664621823,22.084820570091118
3,0,1591,652.7518613101523,41.7010232824363
1,3,254,98.57132105716124,59.61004330438264
8,1,414,85.33015143805716,36.334282467916445
1,0,692,605.6859698105147,47.21318992544959
0,2,606,172.19114313870753,21.895481987190735
4,6,287,111.59145379651014,85.8310828941771
7,6,158,93.58280902705752,94.65773997928844
6,2,664,250.7817123478261,14.85396428388734
7,3,253,84.9986923571079,65.12088889398078
5,0,1345,658.9017941116041,43.09177029280035
7,1,611,152.26590998015263,23.479135810102356
3,5,356,111.39311038141886,75.23183250698852
2,7,150,108.31459699680079,97.9258696305553
6,7,124,102.37615306580831,100.79393960838958
3,4,436,108.02144930124258,64.8705942656542
3,8,100,107.93190398757326,108.11514652030259
2,0,1044,639.2693901101918,43.11946840153875
4,3,552,99.33397582319581,54.863417415798146
1,7,184,102.50561517780001,101.14748049143228
7,0,669,567.7748677217203,53.604252136213994
7,4,222,85.66450746355622,74.43160157433444
5,3,488,96.46325153927326,56.223105907259864
8,3,208,80.66637217337926,73.32101511200982
8,0,509,483.4272622330104,62.22763838014086
0,5,75,83.35789646689693,118.36239365374257
1,4,228,96.8844501112,69.14923918556822
2,8,123,105.96338819922484,109.09113286318491
6,8,92,100.98552730553156,111.61694546693921
2,3,367,97.6441788403799,56.1399906880457
4,5,363,111.36952357373221,75.09179624204843
6,1,957,263.57553804323436,14.265490026278089
5,6,250,109.14752927979667,87.00261462058606
3,7,151,110.86849285828083,96.80826985376584
2,4,295,104.82771734716948,65.99575614221595
4,4,449,108.0313816018444,64.73336493719427
1,6,182,102.74160606249076,89.97736468472098
4,7,229,110.83479893134484,96.91486301478594
2,5,238,108.6868208402601,76.4011595576347
5,4,409,104.81350540661595,65.86775674412164
0,3,97,97.82830307140371,109.35060277682925
5,8,142,105.68917368478178,109.69504473237782
0,8,96,93.51065233873368,116.10130144808866
6,5,223,101.54780562884389,79.55307477660259
8,5,153,79.77057180424865,91.19465608126967
8,6,133,83.51863649790039,100.86524668735001
0,0,216,385.2400546748112,103.60961292059578
0,4,83,90.62861253015832,113.25403960880269
2,6,187,109.13299578681483,87.30694425035905
7,7,135,94.08475453584464,104.89333658495673
8,4,175,78.01508890487678,82.06623309505434
7,5,188,91.33051869308858,84.16592953384003
0,6,65,75.61935499600722,123.74058816593927
7,2,392,135.23941450268555,24.712023599980792
6,6,184,102.57243780274352,89.88764864811748
5,7,179,108.50769944074311,98.26011467345758
8,2,264,118.89267911297942,34.20004066593762
1,5,182,101.43912970382232,79.20539549896581
7,8,88,93.75756791337233,115.59625728951674
8,7,108,84.67981857646008,111.43670817581597
0,7,71,94.0148169559708,109.43387048109635
