# meta={"format": "probe_hits_cells", "version": "1.0", "exported_at": "2026-01-12T23:48:34", "units": {"length": "m", "pressure": "kPa", "time": "ms", "impulse": "kPa·ms"}, "grid": {"origin": [-50.0, 10, -50.0], "u_vec": [1.0, 0.0, 0.0], "v_vec": [0.0, 0.0, 1.0], "du": 1.0, "dv": 1.0, "nu": 100, "nv": 100}, "summary": {"unique_hit_cells": 6426, "total_hits": 167976}, "context": {"charge_kg_tnt": 500, "n_rays_horizontal": 200000, "min_cos_to_normal": 0.08, "hemisphere": "+Y (horizontal plane focus)", "note": "only upward hemisphere rays; grazing filtered with dot(y)>=threshold", "house_centers": [[-20, -20], [-20, 0], [-20, 20], [20, -20], [20, 0], [20, 20]], "house_size": 10.0}, "aggregation": {"Pmax_inc_kPa": "max over incident_peak_pressure_kpa within cell", "t_first_ms": "min over arrive_time_ms within cell", "hits": "count of hits within cell"}}
# columns=i,j,hits,Pmax_inc_kPa,t_first_ms
i,j,hits,Pmax_inc_kPa,t_first_ms
50,50,338,830.1278440289235,5.602879825538111
49,49,342,830.1182440724389,5.602933650622231
50,49,344,830.099577921646,5.603038311264011
49,50,341,830.0903339435685,5.603090143570578
48,49,328,820.8034351903378,5.6556879602028785
49,48,326,820.7848777128034,5.655794124303897
51,50,335,820.6460648435484,5.656588384224611
50,51,331,820.6273371746021,5.6566955585841185
48,50,330,820.6089601196675,5.656800730691834
50,48,333,820.4700126679479,5.657596064453554
51,49,331,820.4512904539729,5.657703248554599
49,51,325,820.3123792497867,5.65849864705863
48,51,321,811.3441724048859,5.710363165494469
48,48,323,811.0126850240257,5.7122997809917475
51,51,321,810.8561367444809,5.713214857663466
51,48,318,810.6810373281548,5.71423874488032
49,47,313,794.0755023187742,5.813164226820603
49,52,316,793.9203695843195,5.8141057807405705
47,50,311,793.9021312270349,5.814216497141458
50,47,312,793.765445351958,5.815046396432415
52,49,314,793.7472118353053,5.815157121947574
50,52,314,793.7288116162376,5.815268864380792
47,49,312,793.5921663263308,5.816098840101587
52,50,313,793.4373291969889,5.817039619848061
52,51,304,785.0349466726205,5.868587373048713
48,52,306,784.7084367684057,5.870610323768702
47,48,310,784.3821116614569,5.8726336289206955
47,51,306,784.3547890817578,5.872803104468765
51,47,301,784.0554777099118,5.874660351819474
48,47,306,784.0283351112199,5.874828835972542
52,48,309,783.7022304469195,5.876853901299112
51,52,308,783.3759817497129,5.878881364345109
47,47,296,759.9048609180903,6.028803577224158
52,47,289,759.5832088071859,6.030915428966507
52,52,288,759.2618997494413,6.033026620637026
47,52,292,758.9406186046913,6.035139222018844
49,46,289,753.0249932362688,6.074324747626585
49,53,290,752.8736757436625,6.075334283460348
46,50,295,752.855931347898,6.075452691378547
50,46,291,752.7225553364752,6.076342865517245
53,49,291,752.7046601914521,6.076462322149325
46,49,291,752.5537416220557,6.07746996019824
53,50,291,752.4027088034495,6.078478721799247
50,53,292,752.3848240299969,6.078598199695366
53,48,286,744.3700378477606,6.132655058638252
51,46,285,744.343677565133,6.132834560903814
51,53,283,744.0519604661838,6.1348217868174295
53,51,285,744.0256155566794,6.135001321166302
46,51,281,743.7336093265553,6.136992034178188
48,53,286,743.7074328763262,6.13717055665675
